시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,강내면,43113-2019-00119,공인중개사,양성재,청솔공인중개사사무소,충청북도 청주시 흥덕구 강내면 가로수로 534 
충청북도 청주시흥덕구,오송읍,43113-2019-00120,공인중개사,김용숙,오송모아공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명3로 87 104호(상가)
충청북도 청주시흥덕구,가경동,43113-2020-00001,공인중개사,이지은,이지공인중개사사무소,"충청북도 청주시 흥덕구 가경로 126 , 상가1동206호(가경동)"
충청북도 청주시흥덕구,송절동,43113-2020-00002,공인중개사,배소윤,정공인중개사사무소,충청북도 청주시 흥덕구 송화로150번길 7-3 108호
충청북도 청주시흥덕구,운천동,43113-2020-00003,공인중개사,이인영,미스터공인중개사사무소,충청북도 청주시 흥덕구 흥덕로175번길 12 
충청북도 청주시흥덕구,오송읍,43113-2020-00006,공인중개사,박정원,오송일등공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명12로 6 103호
충청북도 청주시흥덕구,강서동,43113-2020-00007,공인중개사,김응일,블루지움공인중개사사무소,충청북도 청주시 흥덕구 2순환로 1222 115호
충청북도 청주시흥덕구,복대동,43113-2020-00008,공인중개사,이현영,이보배공인중개사사무소,충청북도 청주시 흥덕구 복대로 169 104호 (복대동)
충청북도 청주시흥덕구,가경동,43113-2020-00009,공인중개사,곽기용,거성공인중개사사무소,충청북도 청주시 흥덕구 2순환로 1289-15 101호(가경동)
충청북도 청주시흥덕구,오송읍,43113-2020-00015,공인중개사,진미경,오송역단지공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송가락로 48 , 1층"
충청북도 청주시흥덕구,옥산면,43113-2020-00016,공인중개사,허선,금다래공인중개사사무소,충청북도 청주시 흥덕구 옥산면 옥산시내1길 50-1 
충청북도 청주시흥덕구,봉명동,43113-2020-00019,공인중개사,추연순,청주SK뷰자이공인중개사사무소,"충청북도 청주시 흥덕구 1순환로570번길 80 (봉명동), 1층"
충청북도 청주시흥덕구,강서동,43113-2020-00025,공인중개사,김숙자,대승공인중개사사무소,충청북도 청주시 흥덕구 가로수로1164번길 46 (강서동)
충청북도 청주시흥덕구,복대동,43113-2020-00026,공인중개사,전유신,슬기로운공인중개사사무소,충청북도 청주시 흥덕구 내수동로42번길 8 1층(복대동)
